group,topic_id,topic_size,llm_model,llm_provider,prompt_option,label,cosine
A,0,3255,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,wrong answer,0.24531777203083038
A,1,456,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,cold body stress,0.6789469718933105
A,2,42,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,package install issues,0.5213946104049683
A,3,39,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,bootstrap error,0.5665716528892517
A,4,22,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,cubic spline basics,0.7385481595993042
A,5,21,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,piazza access issues,0.7274596691131592
A,6,19,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,load r data,0.6990557312965393
A,7,19,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,economic growth,0.7198463082313538
A,8,17,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,audio problems,0.7128341197967529
A,9,17,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,correlation coefficient,0.7047738432884216
A,10,16,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,chapter use,0.5604811310768127
A,11,15,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,coffee and cancer link,0.5408804416656494
A,12,14,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,email issues,0.7928274869918823
A,13,13,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,dimensionality,0.4769800305366516
A,14,12,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,problem discussion,0.5915148258209229
A,15,12,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,choosing function,0.38833388686180115
A,16,11,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,person year units,0.7262589335441589
A,17,11,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,scpd homework,0.7326727509498596
A,18,11,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,article access,0.8126844167709351
A,19,10,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,interpreting p-values,0.46417319774627686
A,20,10,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,data analysis software,0.8044906854629517
A,21,9,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,lottery expected value,0.7494925856590271
A,22,9,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,module redundancy,0.691505491733551
A,23,9,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,rent control debate,0.6524555683135986
A,24,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,nba player decision,0.4841573238372803
A,25,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,download module,0.7384043335914612
A,26,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,tree nodes,0.7686975002288818
A,27,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,browser issues,0.6691213250160217
A,28,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,case control sampling,0.6799071431159973
A,29,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,exercises and answers,0.7748069167137146
A,30,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,ordinal data,0.7223679423332214
A,31,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,covariance matrix,0.760231077671051
A,32,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,meningitis treatment,0.5465366244316101
A,33,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,sugar in tea,0.6280474662780762
A,34,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,verb tenses,0.30309465527534485
A,35,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,binomial approximation,0.6812356114387512
A,36,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,oob test errors,0.6268612742424011
A,37,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,halt study,0.789029061794281
A,38,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,autism disorders,0.6963189840316772
A,39,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,survival probability,0.7025203108787537
A,40,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,oil price impact,0.7312349081039429
A,41,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,access issues,0.820495069026947
A,42,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,confidence interval,0.5963100790977478
A,43,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,parkinsons disease,0.30451521277427673
A,44,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,slope and intercept,0.8164973258972168
A,45,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,reaction times,0.6295778751373291
A,46,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,random forests,0.5969269871711731
A,47,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,matrix syntax,0.7280778884887695
A,48,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,electron trajectories,0.6578999757766724
A,49,6,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,spinal cord injuries,0.7928366661071777
A,50,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,firms enter exit,0.568551242351532
A,51,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,help with homework,0.6252041459083557
A,52,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,get email address,0.8031855821609497
A,53,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,accreditation discussion,0.2060791701078415
A,54,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,logarithm basics,0.7133353352546692
A,55,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,quick summary sheets,0.7089276909828186
A,56,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,problem solved,0.668978214263916
A,57,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,data study outcomes,0.3786446154117584
A,58,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,twins and multiples,0.6270454525947571
A,59,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,ipads in mooc,0.49172601103782654
A,60,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,multiple regression,0.34034788608551025
A,61,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,horsepower model,0.4346270263195038
A,62,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,alzheimers prevention,0.6913430690765381
A,63,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,donor power,0.6339116096496582
A,64,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,model complexity,0.3408414125442505
A,65,5,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,computer said wrong,0.6354777216911316
A,66,4,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,graph interpretation,0.658893346786499
A,67,4,meta-llama/llama-3.1-8b-instruct,openai-compatible,2,note issues,0.6344719529151917
