group,topic_id,topic_size,llm_model,llm_provider,prompt_option,label,cosine
A,0,3255,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,course issues,0.5258689522743225
A,1,456,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,runner's body stress,0.4976619780063629
A,2,42,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,package install,0.4975121319293976
A,3,39,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,tsboot function,0.5830952525138855
A,4,22,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,linear spline,0.7096753716468811
A,5,21,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,piazza access issues,0.7274596691131592
A,6,19,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,load rrdata,0.8026664853096008
A,7,19,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,economic policy,0.6475064754486084
A,8,17,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,hear video,0.5796363949775696
A,9,17,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,correlation and regression,0.6878433227539062
A,10,16,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,chapter issues,0.5990813374519348
A,11,15,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,coffee and cancer,0.5235856771469116
A,12,14,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,tech support,0.3682723641395569
A,13,13,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,hypercube dimension,0.6364420652389526
A,14,12,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,problem solving,0.5906240344047546
A,15,12,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,choosing function,0.38833388686180115
A,16,11,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,person years,0.7009735703468323
A,17,11,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,scpd submission,0.7717933654785156
A,18,11,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,article access,0.8126844167709351
A,19,10,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,pvalue interpretation,0.6757097244262695
A,20,10,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,data analysis software,0.8044906854629517
A,21,9,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,expected value,0.514352023601532
A,22,9,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,module redundancy,0.691505491733551
A,23,9,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,rent control,0.6006609797477722
A,24,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,opportunity cost,0.41487810015678406
A,25,8,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,download module,0.7384043335914612
A,26,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,tree split values,0.7296661138534546
A,27,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,browser issues,0.6691213250160217
A,28,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,case control sampling,0.6799071431159973
A,29,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,exercises and answers,0.7748069167137146
A,30,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,ordinal data,0.7223679423332214
A,31,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,covariance matrix,0.760231077671051
A,32,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,meningitis treatment,0.5465366244316101
A,33,7,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,sugar and tea,0.5990702509880066
